Processes,correlation,p_value,p_value_adj,significant,abs_corr
Extracellular_Matrix,0.5107851856381591,8.090600758502217e-17,1.6181201517004433e-15,True,0.5107851856381591
Non_Canonical,0.39918653547243105,2.7593817130346743e-10,5.5187634260693484e-09,True,0.39918653547243105
Antigen_Presentation,0.39163517076211996,6.342044355956847e-10,1.2684088711913694e-08,True,0.39163517076211996
Inflammation,0.37823723881452675,2.638553969577652e-09,5.277107939155304e-08,True,0.37823723881452675
mtDNA_dsRNA_Activated,0.3497237188377852,4.4541737267245746e-08,8.908347453449149e-07,True,0.3497237188377852
Canonical,0.33812367931520426,1.3015859863400892e-07,2.6031719726801784e-06,True,0.33812367931520426
Innate_Immune,0.33222779488449283,2.2079286129360736e-07,4.415857225872147e-06,True,0.33222779488449283
mtDNA_dsRNA,0.3276042765544204,3.3161495999724506e-07,6.632299199944901e-06,True,0.3276042765544204
Cytokines,0.31560607075451164,9.238590430292452e-07,1.8477180860584904e-05,True,0.31560607075451164
mtdsRNA_Activated,0.31019324058876097,1.4457707056536159e-06,2.8915414113072318e-05,True,0.31019324058876097
Adaptive_Immune,0.2961724993091082,4.428195002800107e-06,8.856390005600214e-05,True,0.2961724993091082
UPR,0.288163295874018,8.17898949937559e-06,0.00016357978998751178,True,0.288163295874018
Apoptosis,0.28372687728883866,1.1398678249654755e-05,0.00022797356499309508,True,0.28372687728883866
Pyroptosis,0.2630079172378794,4.99165695332276e-05,0.000998331390664552,True,0.2630079172378794
ISR,0.23616365601133185,0.000284324720480129,0.0056864944096025796,True,0.23616365601133185
Necroptosis,0.18775228326605434,0.004106317316327864,0.08212634632655728,False,0.18775228326605434
mtDNA_Activated,0.1589782582127739,0.015357346710070115,0.30714693420140227,False,0.1589782582127739
Inhibited_Senescence,-0.14162452804504438,0.0310532389756457,0.6210647795129141,False,0.14162452804504438
Induced_Senescence,0.07671560285901116,0.24446379440222837,1.0,False,0.07671560285901116
Interleukins,0.00734657743289683,0.9113809714920046,1.0,False,0.00734657743289683
