"","pathway","pval","padj","HMDPval","NES","size"
"1","MACRO_IMMUNE/MACRO_STRESS",0.832604116026576,0.997632669165516,0.999999999999085,0.689949182066748,613
"2","IMMUNE",0.997632669165516,0.997632669165516,0.999999999999997,0.512844894477635,106
"3","IMMUNE/ISR",0.873832666285496,0.997632669165516,0.999999999999795,0.635980750002327,199
"4","IMMUNE/ISR/RAAS",0.881065651760228,0.997632669165516,0.999999999999841,0.634788673845626,200
"5","IMMUNE/ISR/PANOPTOSIS",0.891616314199396,0.997632669165516,0.99999999999989,0.632531836521489,212
"6","IMMUNE/ISR/PANOPTOSIS/SENESCENCE",0.896409749670619,0.997632669165516,0.999999999999907,0.649132046243511,539
"7","IMMUNE/ISR/PANOPTOSIS/SENESCENCE/RAAS",0.897414786761074,0.997632669165516,0.99999999999991,0.648645279548043,540
"8","PANOPTOSIS/SENESCENCE",0.885330030083171,0.997632669165516,0.999999999999863,0.642450346534456,382
"9","STRESS_ISR/UPR",0.824110671936759,0.997632669165516,0.999999999998745,0.680925094444908,108
"10","STRESS_UPR/Mitophagy/ROS",0.24166502268692,0.997632669165516,0.92638390995493,1.07857133998688,83
"11","STRESS_ISR/UPR/Mitophagy/ROS",0.347690508672773,0.997632669165516,0.998478916994653,0.95119373127352,147
"12","STRESS_UPR/Mitophagy/ROS/RAAS",0.248466864490603,0.997632669165516,0.939769467062223,1.06857028250252,84
"13","STRESS_ISR/UPR/Mitophagy/ROS/RAAS",0.353423054417788,0.997632669165516,0.998809896393226,0.945796535760012,148
"14","MACRO_OXPHOS/MACRO_METABOLISM/MACRO_HIF1a/mTOR",0.13489827856025,0.997632669165516,0.425916731661743,1.35634434142842,730
"15","OXPHOS",0.653493163513767,0.997632669165516,0.999999998751705,0.734448528298142,247
"16","OXPHOS+TCA",0.681132426895139,0.997632669165516,0.999999999620207,0.721931791433722,263
"17","OXPHOS+TCA+ECM",0.0944946589975349,0.997632669165516,0.221005825484997,1.48959792775276,551
"18","HIF1a/mTOR/GLYCO",0.770445572476029,0.997632669165516,0.999999999990199,0.68279040316957,237
"19","METABOLISM",0.941486130795708,0.997632669165516,0.99999999999998,-0.680016616992196,87
"20","METABOLISM+HIF1a/mTOR/GLYCO",0.770445572476029,0.997632669165516,0.999999999990199,0.68279040316957,237
"21","INDUCED",0.891331771490359,0.997632669165516,0.999999999999889,0.637114598103634,350
"22","INHIBITED",0.689890377588307,0.997632669165516,0.999999999738045,-0.857803349505555,477
"23","EXTRACELLULAR MATRIX",0.075804967801288,0.997632669165516,0.150905701467777,1.72015614686213,288
"24","Mitochondrial Innate Immune",0.373007867661892,0.997632669165516,0.999494510955871,-1.11810451463123,2
"25","mtDNA",0.373007867661892,0.997632669165516,0.999494510955871,-1.11810451463123,2
"26","mtdsRNA",0.373007867661892,0.997632669165516,0.999494510955871,-1.11810451463123,2
"27","Innate Immune",0.312414467253177,0.997632669165516,0.993546963099108,0.993204508182686,69
"28","Innate Immune_ Canonical",0.536863136863137,0.997632669165516,0.999999754959503,0.901733670568533,26
"29","Innate Immune_ Non-Canonical",0.447252306458083,0.997632669165516,0.999983345859936,0.972749776916449,22
"30","Innate Immune_ Inflammation",0.829141716566866,0.997632669165516,0.99999999999896,0.714330903850917,18
"31","Innate Immune_ Antigen Presentation",0.691063485644966,0.997632669165516,0.999999999750708,-0.804922524494009,5
"32","Adaptive Immune",0.913387423935091,0.997632669165516,0.999999999999948,-0.681640604488397,57
"33","Adaptive Immune_ Antigen Presentation",0.35690990623726,0.997632669165516,0.998976169134414,-1.11063522065231,7
"34","Adaptive Immune_ Cytokines",0.603712013053233,0.997632669165516,0.999999988654963,-0.874707308540529,11
"35","Adaptive Immune_ Interleukins",0.585708630245447,0.997632669165516,0.999999974328831,0.903928869936982,9
"36","Adaptive Immune_ Surface Marker/Receptor Signaling",0.880770774789241,0.997632669165516,0.999999999999839,-0.689462237493345,29
"37","mtDNA/dsRNA Release",0.521861211391897,0.997632669165516,0.999999505404536,0.918485229297487,22
"38","mtDNA/dsRNA Release_ mtPTP co-factor/activator",0.366451107191848,0.997632669165516,0.999324759931278,1.06360384370509,13
"39","mtDNA/dsRNA Release_ BAX-BAK Hyrniation",0.775065563849102,0.997632669165516,0.999999999991823,-0.803703747330842,2
"40","mtDNA/dsRNA Release_ Mitochondrial-derived vesicles",0.676216640502355,0.997632669165516,0.999999999531604,0.83287416332671,7
"41","mtDNA/dsRNA Innate Immune",0.410180233709645,0.997632669165516,0.999906219207216,0.945653538872344,42
"42","mtDNA/dsRNA Innate Immune_ Release mtDNA/dsRNA",0.516416139240506,0.997632669165516,0.999999361291066,0.990789023010264,5
"43","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA",0.90086816071068,0.997632669165516,0.99999999999992,-0.635538360823401,14
"44","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_ cGAS-STING",0.765662172878668,0.997632669165516,0.999999999988167,0.820509376635519,1
"45","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  NFKB-Signaling",0.933544303797468,0.997632669165516,0.999999999999974,0.558225363639966,5
"46","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 activator",0.72408325074331,0.997632669165516,0.999999999936921,0.857387250719782,2
"47","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 repressor",0.950839571110662,0.997632669165516,0.999999999999985,-0.517772524591408,3
"48","mtDNA/dsRNA Innate Immune_ Activated by mtDNA",0.2541567695962,0.997632669165516,0.949382913015428,1.19260070120386,9
"49","mtDNA/dsRNA Innate Immune_ Activated by mtDNA_ Toll Like Receptor",0.858814037918516,0.997632669165516,0.999999999999649,-0.758794912291203,1
"50","mtDNA/dsRNA Innate Immune_ Activated by mtDNA_ Inflammasome",0.282197715636077,0.997632669165516,0.980069427572472,1.16931018527235,8
"51","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA",0.183798772034066,0.997632669165516,0.710664326883934,1.24902737740972,14
"52","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA_ Toll Like Receptor",0.73201189296333,0.997632669165516,0.99999999995438,0.85176322926541,2
"53","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA_ MAVS singlesome",0.176241480038948,0.997632669165516,0.669547871237557,1.27373394991671,12
"54","ISR",0.393969062071666,0.997632669165516,0.999802941948567,0.919223535030559,71
"55","ISR_ Sensor/Initiator",0.974111362235463,0.997632669165516,0.999999999999993,-0.500105637895439,12
"56","ISR_ Regulator",0.115870509277537,0.997632669165516,0.321190249629384,1.36283044064189,6
"57","ISR_ Regulator_ ISR Activator",0.220399288396916,0.997632669165516,0.869197608309569,1.22715748311289,3
"58","ISR_ Regulator_ ISR Inhibitor",0.34077881004151,0.997632669165516,0.997962498462056,1.1389310943657,3
"59","ISR_ Target-Gene",0.251572327044025,0.997632669165516,0.945186180279753,1.06992396498192,53
"60","ISR_ Target-Gene_ AA-Uptake/Biosynthesis",0.121990693910581,0.997632669165516,0.353513229879649,-1.33934386695297,3
"61","ISR_ Target-Gene_ Autophagy",0.281899714635141,0.997632669165516,0.97985860174235,-1.18841188440563,7
"62","ISR_ Target-Gene_ Anti-oxidant",0.362139917695473,0.997632669165516,0.999184398472937,1.06936285693843,13
"63","ISR_ Target-Gene_ Death Factors",0.609090909090909,0.997632669165516,0.999999991095105,-0.86721599244509,9
"64","ISR_ Target-Gene_ Survivial Factors",0.505494505494505,0.997632669165516,0.999998932186643,0.983759598685618,7
"65","ISR_ Target-Gene_ Cytokine/Chemokine",0.158249158249158,0.997632669165516,0.564847397935789,1.29101480731323,14
"66","UPR MT/ER",0.963911290322581,0.997632669165516,0.99999999999999,-0.614835474906894,38
"67","UPR MT/ER_ Sensor/Initiator",0.773139031114612,0.997632669165516,0.999999999991182,0.751481810084307,8
"68","UPR MT/ER_ Sensor/Initiator_ UPR MT",0.455104063429138,0.997632669165516,0.999988489951639,1.05096990057375,2
