"","pathway","pval","padj","HMDPval","NES","size"
"1","Mitochondrial central dogma",9.99900009999e-05,0.000521230523819186,0.000100132301803749,1.73983449314983,229
"2","mtDNA maintenance",0.00177876598110061,0.00481883874879984,0.00181528782219498,1.54280749492174,31
"3","mtDNA replication",0.0179911985503495,0.033094920790149,0.0213730880051693,1.46726477667648,14
"4","mtDNA nucleoid",0.00136239782016349,0.00379410004710795,0.00138424186609312,1.57496093474708,11
"5","mtDNA repair",0.389463154384795,0.423576715352806,0.999758251256617,-1.07643233549093,9
"6","mtDNA modifications",0.458743224252158,0.484771208606891,0.999990303552796,-1.03052698900437,1
"7","mtDNA stability and decay",0.0822092599343784,0.114566002717661,0.173096297840954,1.34092735529672,3
"8","mtRNA metabolism",0.000102165917449939,0.000521230523819186,0.000102314257833724,1.72961012351679,76
"9","Transcription",0.00742538911894902,0.016270337922403,0.00800878895147084,1.50423692477797,9
"10","mtRNA granules",0.000114025085518814,0.000521230523819186,0.000114208458848004,1.65585476306635,27
"11","Polycistronic mtRNA processing",0.00394373603260155,0.00947768820738115,0.00411386965844526,1.55037670105473,13
"12","mt-tRNA modifications",0.0423154641626055,0.0650000428889507,0.0624770726063125,1.40140711037593,21
"13","mt-rRNA modifications",0.0278561786722297,0.0469487948148787,0.0361467748436676,1.44272387293982,18
"14","mt-mRNA modifications",0.189412169130285,0.2222237259875,0.739635509580661,1.2649708498849,4
"15","mtRNA stability and decay",0.000372393247269116,0.00123303541873552,0.000374189930848971,1.62623047787525,17
"16","Translation",0.000100060036021613,0.000521230523819186,0.000100202529336739,1.76758109728898,155
"17","Mitochondrial ribosome",0.000101667344448963,0.000521230523819186,0.000101814290305738,1.77278816413172,83
"18","Mitochondrial ribosome assembly",0.00116090085906664,0.00345948456001857,0.00117694921746182,1.58091238861317,24
"19","Translation factors",0.0072690813385136,0.0161655689468437,0.00782867712909959,1.52718673262375,16
"20","mt-tRNA synthetases",0.00353940537989618,0.00864543281318902,0.00367736968662471,1.54514635655412,22
"21","fMet processing",0.647830842143638,0.675012555800015,0.999999998401959,0.918075024960688,3
"22","Protein import, sorting and homeostasis",0.000101533150573662,0.000521230523819186,0.00010167972216756,1.80149855124061,85
"23","Protein import and sorting",0.000106112054329372,0.000521230523819186,0.000106271655515156,1.77996245158513,47
"24","TOM",0.0931029558760531,0.123860182370821,0.215219802224074,1.34921489800375,9
"25","SAM",0.132883703973751,0.167793829593974,0.414296801182502,1.29977384065799,3
"26","MIA40",0.109551585854903,0.141940750368527,0.289427332550147,1.31833323724518,3
"27","TIM22 carrier pathway",0.259205249726577,0.294821238238625,0.95681336213811,1.2130340733535,3
"28","TIM23 presequence pathway",0.0192699357668808,0.0345930172200631,0.0231567565781793,1.44869992506123,6
"29","Import motor",0.0280432398558671,0.0469487948148787,0.0364503128947537,1.43135417369798,6
"30","OXA",0.0843949044585987,0.114566002717661,0.181100565455053,1.2788874778709,1
"31","Preprotein cleavage",0.00437700612780858,0.010351966873706,0.00458526611432396,1.52268366705087,8
"32","Protein homeostasis",0.00010539629005059,0.000521230523819186,0.000105553819299994,1.74077579578487,51
"33","Proteases",0.000113211819313936,0.000521230523819186,0.000113392676334698,1.66374130416294,28
"34","Chaperones",0.00213059280611605,0.00566889871627307,0.00218232266775909,1.57416543558218,16
"35","OXPHOS",0.000100070049034324,0.000521230523819186,0.000100212569883308,1.88323217349269,153
"36","OXPHOS subunits",0.000101419878296146,0.000521230523819186,0.000101566134334259,1.90787413205401,87
"37","OXPHOS assembly factors",0.000102711585866886,0.000521230523819186,0.000102861459766104,1.75187887508114,67
