"","pathway","pval","padj","HMDPval","NES","size"
"1","Mitochondrial central dogma",0.00173686495874946,0.163312076524512,0.00177174616637477,-1.84888719468336,229
"2","mtDNA maintenance",0.115992292870906,0.265890025196384,0.321818960268243,-1.34911220228127,31
"3","mtDNA replication",0.377777777777778,0.485249042145594,0.999591191971312,-1.0761085631736,14
"4","mtDNA nucleoid",0.128269230769231,0.276469622331691,0.388092853601219,-1.35367202058,11
"5","mtDNA repair",0.241860465116279,0.373187567140882,0.926799059957706,-1.22111214051113,9
"6","mtDNA modifications",0.0876319458275244,0.244721380314601,0.193365482556028,-1.27687316467724,1
"7","mtDNA stability and decay",0.357099939915882,0.466997656368038,0.998984558214342,-1.13296498023102,3
"8","mtRNA metabolism",0.0931750741839763,0.244721380314601,0.215517372638512,-1.525886971208,76
"9","Transcription",0.403682170542636,0.501590560117498,0.999873550468212,-1.0646768756002,9
"10","mtRNA granules",0.196952380952381,0.329928101980504,0.776116941137958,-1.22025687630073,27
"11","Polycistronic mtRNA processing",0.183642270208294,0.321914097188656,0.709836250853602,-1.27137962355166,13
"12","mt-tRNA modifications",0.114537444933921,0.265890025196384,0.314348287596338,-1.35932231391546,21
"13","mt-rRNA modifications",0.0656303972366149,0.241727043120771,0.119377023508939,-1.47641901538351,18
"14","mt-mRNA modifications",0.357300220308432,0.466997656368038,0.998993328126095,-1.13179892160726,4
"15","mtRNA stability and decay",0.0905769230769231,0.244721380314601,0.20495298310798,-1.40983069501547,17
"16","Translation",0.0039361922519163,0.163312076524512,0.00410569552131483,-1.88518243623542,155
"17","Mitochondrial ribosome",0.00438421681944998,0.163312076524512,0.00459314328137998,-1.98392824180757,83
"18","Mitochondrial ribosome assembly",0.0965821812596006,0.244721380314601,0.229857313706647,-1.39479838957573,24
"19","Translation factors",0.0303088067098742,0.241727043120771,0.0401996376169591,-1.68226999850084,16
"20","mt-tRNA synthetases",0.269393241167435,0.402518856689162,0.969037470333341,-1.14365144514622,22
"21","fMet processing",0.24193871419988,0.373187567140882,0.926964751737012,-1.20963565210729,3
"22","Protein import, sorting and homeostasis",0.0969030969030969,0.244721380314601,0.231236403867591,-1.52109195828253,85
"23","Protein import and sorting",0.0798352295017654,0.244721380314601,0.164652400551334,-1.52762919821576,47
"24","TOM",0.213178294573643,0.34525615099427,0.843955774248282,-1.25052017887977,9
"25","SAM",0.030242339274985,0.241727043120771,0.0400876966377073,-1.41349988730453,3
"26","MIA40",0.382335269377128,0.48690559946318,0.999666644413588,-1.11478537945628,3
"27","TIM22 carrier pathway",0.0580813138393751,0.241727043120771,0.0987542908888779,-1.37525559322388,3
"28","TIM23 presequence pathway",0.100926473487089,0.25063407582627,0.248939604563797,-1.37511475633239,6
"29","Import motor",0.456534594914252,0.539870274938282,0.999989240000438,-1.04043868976056,6
"30","OXA",0.0780720971917945,0.244721380314601,0.158548227885961,-1.28467792452698,1
"31","Preprotein cleavage",0.0681378242353852,0.241727043120771,0.126736948702251,-1.45648451794836,8
"32","Protein homeostasis",0.151710654936461,0.291159755015177,0.525632257673529,-1.26558709933679,51
"33","Proteases",0.0724526859109157,0.244721380314601,0.140024264523404,-1.48353568599734,28
