"dataset","comparision","summarized.name","tissue","strain","n.sample"
"OSD-162",".FLT.v.GC.","OSD-162","eye","BALB/c",13
"OSD-164",".Space.Flight...Liver.v.Ground.Control...Liver.","OSD-164-Liver","liver","C57BL/6NTac",6
"OSD-164",".Space.Flight...Spleen.v.Ground.Control...Spleen.","OSD-164-Spleen","spleen","C57BL/6NTac",6
"OSD-173",".FLT.v.GC.","OSD-173","liver","C57BL/6NCrl",4
"OSD-194",".Space.Flight.v.Ground.Control.","OSD-194","retina","BALB/c",9
"OSD-238",".Space.Flight...uG...JAXA.Chow..v.Ground.Control...1G...JAXA.Chow..","OSD-238","dorsal skin","C57BL/6J",6
"OSD-238",".Space.Flight...uG...JAXA.Chow.with.FOS.v.Ground.Control...1G...JAXA.Chow.with.FOS.","OSD-238-FOS","dorsal skin","C57BL/6J",6
"OSD-239",".Space.Flight...uG...JAXA.Chow..v.Ground.Control...1G...JAXA.Chow..","OSD-239","femoral skin","C57BL/6J",5
"OSD-239",".Space.Flight...uG...JAXA.Chow.with.FOS.v.Ground.Control...1G...JAXA.Chow.with.FOS.","OSD-239-FOS","femoral skin","C57BL/6J",6
"OSD-240",".Space.Flight.v.Ground.Control.","OSD-240","dorsal skin","BALB/c",20
"OSD-241",".Space.Flight.v.Ground.Control.","OSD-241","femoral lateral skin","BALB/c",19
"OSD-242",".FLT_C1.v.GC_C2.","OSD-242","liver","C57BL/6J",9
"OSD-243",".Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.","OSD-243-Earth","dorsal skin","C57BL/6NTac",18
"OSD-243",".Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.","OSD-243-ISS","dorsal skin","C57BL/6NTac",19
"OSD-244",".Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.","OSD-244-Earth","thymus","C57BL/6NTac",18
"OSD-244",".Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.","OSD-244-ISS","thymus","C57BL/6NTac",20
