"","pathway","pval","padj","HMDPval","NES","size"
"1","MACRO_IMMUNE/MACRO_STRESS",0.114841398471868,0.398046220018955,0.315901841381484,-1.28206303548721,604
"2","IMMUNE",0.0759813447337738,0.356989298681445,0.15149200067688,-1.55241842050858,103
"3","IMMUNE/ISR",0.054975922953451,0.356989298681445,0.090911243382988,-1.60716617889955,196
"4","IMMUNE/ISR/RAAS",0.0544286001205061,0.356989298681445,0.0895660706117318,-1.60609655282655,197
"5","IMMUNE/ISR/PANOPTOSIS",0.0561933534743202,0.356989298681445,0.0939430125193771,-1.58937225929141,209
"6","IMMUNE/ISR/PANOPTOSIS/SENESCENCE",0.0661531490711373,0.356989298681445,0.120889903278801,-1.39203848441214,530
"7","IMMUNE/ISR/PANOPTOSIS/SENESCENCE/RAAS",0.0664399092970522,0.356989298681445,0.121724599129799,-1.39187726870897,531
"8","PANOPTOSIS/SENESCENCE",0.389779773358991,0.657459858677816,0.999761691149222,-1.01198592660367,375
"9","STRESS_ISR/UPR",0.198551008419816,0.452635801296261,0.783465275032514,-1.20613996744273,107
"10","STRESS_UPR/Mitophagy/ROS",0.0815975539843302,0.356989298681445,0.17089577969818,-1.54018305726383,83
"11","STRESS_ISR/UPR/Mitophagy/ROS",0.165241598727381,0.428216402217549,0.606352001534945,-1.26045836427136,146
"12","STRESS_UPR/Mitophagy/ROS/RAAS",0.0813351237291387,0.356989298681445,0.16995702103688,-1.53986310051098,84
"13","STRESS_ISR/UPR/Mitophagy/ROS/RAAS",0.16508125247721,0.428216402217549,0.605408901414099,-1.26144582799585,147
"14","MACRO_OXPHOS/MACRO_METABOLISM/MACRO_HIF1a/mTOR",0.628809807594075,0.770343882632089,0.999999996307646,0.897016495495808,723
"15","OXPHOS",0.99139520590043,0.99139520590043,0.999999999999996,-0.63786412621835,247
"16","OXPHOS+TCA",0.977945681029202,0.98498126146826,0.999999999999994,-0.666964125387267,263
"17","OXPHOS+TCA+ECM",0.556069775720897,0.745930352359365,0.999999899713108,0.930972996244916,545
"18","HIF1a/mTOR/GLYCO",0.674290220820189,0.780170503428318,0.999999999491371,0.761935072489012,236
"19","METABOLISM",0.128732066692516,0.40960203038528,0.390693106088315,-1.36319416624768,87
"20","METABOLISM+HIF1a/mTOR/GLYCO",0.674290220820189,0.780170503428318,0.999999999491371,0.761935072489012,236
"21","INDUCED",0.444304064013476,0.66541900603036,0.999980871761484,-0.975183084555044,343
"22","INHIBITED",0.332961143367575,0.594720999323456,0.997178365833525,-1.05661345582471,471
"23","EXTRACELLULAR MATRIX",0.33559256390395,0.594720999323456,0.997469689759585,1.1270931194016,282
"24","Mitochondrial Innate Immune",0.0612366230677765,0.356989298681445,0.107099849534371,1.35456130428832,2
"25","mtDNA",0.0612366230677765,0.356989298681445,0.107099849534371,1.35456130428832,2
"26","mtdsRNA",0.0612366230677765,0.356989298681445,0.107099849534371,1.35456130428832,2
"27","Innate Immune",0.108314263920671,0.398046220018955,0.283411169622821,-1.42892411676836,69
"28","Innate Immune_ Canonical",0.0724445287312725,0.356989298681445,0.139998388485486,-1.57444265650687,26
"29","Innate Immune_ Non-Canonical",0.180462626648824,0.428216402217549,0.692789519194613,-1.27591390984642,22
"30","Innate Immune_ Inflammation",0.499522627458469,0.699331678441856,0.999998585060445,-0.940669094941692,18
"31","Innate Immune_ Antigen Presentation",0.0494311494703805,0.356989298681445,0.0777820109998417,-1.47975848520154,5
"32","Adaptive Immune",0.0557898773006135,0.356989298681445,0.0929321430606491,-1.66586888339656,54
"33","Adaptive Immune_ Antigen Presentation",0.0125391849529781,0.356989298681445,0.0141790233696463,-1.70187970902018,7
"34","Adaptive Immune_ Cytokines",0.652645861601086,0.774325598509762,0.999999998704793,-0.831003206775542,11
"35","Adaptive Immune_ Interleukins",0.179858934169279,0.428216402217549,0.689506707751224,-1.30760137918309,7
"36","Adaptive Immune_ Surface Marker/Receptor Signaling",0.11294296001516,0.398046220018955,0.306262285566343,-1.4407138121739,29
"37","mtDNA/dsRNA Release",0.342764289810744,0.596767253163684,0.998125823429898,-1.07014189844746,22
"38","mtDNA/dsRNA Release_ mtPTP co-factor/activator",0.240662302656912,0.495481211352465,0.924224567962405,-1.20842963811796,13
"39","mtDNA/dsRNA Release_ BAX-BAK Hyrniation",0.0992535807948356,0.397014323179342,0.241485957059212,-1.30082436499848,2
"40","mtDNA/dsRNA Release_ Mitochondrial-derived vesicles",0.688852592895059,0.784059861831775,0.999999999726296,0.804993261568045,7
"41","mtDNA/dsRNA Innate Immune",0.264230769230769,0.528322531303557,0.963276250452197,-1.13820446851856,42
"42","mtDNA/dsRNA Innate Immune_ Release mtDNA/dsRNA",0.173009023146332,0.428216402217549,0.651330275649334,-1.29931071954698,5
"43","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA",0.916026133743274,0.936085100175609,0.999999999999953,-0.614662499359638,14
"44","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_ cGAS-STING",0.0399113082039911,0.356989298681445,0.0576744113678072,-1.30837640645732,1
"45","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  NFKB-Signaling",0.403955954323002,0.665339218884944,0.999875128880613,1.08450460621607,5
"46","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 activator",0.414565261246722,0.66541900603036,0.999923412740788,-1.07615681688581,2
"47","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 repressor",0.235684147076552,0.492474337174885,0.912756812462089,-1.20990633061655,3
"48","mtDNA/dsRNA Innate Immune_ Activated by mtDNA",0.0454457176150709,0.356989298681445,0.0690043118168907,-1.58719881813491,9
"49","mtDNA/dsRNA Innate Immune_ Activated by mtDNA_ Toll Like Receptor",0.0409191695222737,0.356989298681445,0.0596659334649009,-1.30740701780556,1
"50","mtDNA/dsRNA Innate Immune_ Activated by mtDNA_ Inflammasome",0.0727484925111846,0.356989298681445,0.140964576032079,-1.48440411101846,8
"51","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA",0.632782475019216,0.770343882632089,0.99999999690317,-0.839833612838504,14
"52","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA_ Toll Like Receptor",0.177368212445501,0.428216402217549,0.675815566805931,1.24603746110245,2
"53","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA_ MAVS singlesome",0.303485461197766,0.555225064445766,0.990887290094033,-1.14178616503539,12
"54","ISR",0.0814885496183206,0.356989298681445,0.170505466626942,-1.5300820292994,70
"55","ISR_ Sensor/Initiator",0.465793304221252,0.66541900603036,0.999993046267459,0.980135801175277,12
"56","ISR_ Regulator",0.434671389216844,0.66541900603036,0.999969955179872,-1.05556025643463,6
"57","ISR_ Regulator_ ISR Activator",0.567611010648985,0.749674919725075,0.999999941154723,-0.970239637072759,3
"58","ISR_ Regulator_ ISR Inhibitor",0.45750452079566,0.66541900603036,0.999989720662058,-1.0558365450232,3
"59","ISR_ Target-Gene",0.0677313834904753,0.356989298681445,0.125526140847171,-1.59459694335031,52
"60","ISR_ Target-Gene_ AA-Uptake/Biosynthesis",0.217114427860697,0.467631075392269,0.858095469933035,1.2428766320703,3
"61","ISR_ Target-Gene_ Autophagy",0.107390771743569,0.398046220018955,0.278965598971116,1.41138193761094,7
"62","ISR_ Target-Gene_ Anti-oxidant",0.0171351559491721,0.356989298681445,0.0201998719950684,-1.81776517737138,13
"63","ISR_ Target-Gene_ Death Factors",0.543794911633327,0.745930352359365,0.999999822641084,-0.925501593286571,9
"64","ISR_ Target-Gene_ Survivial Factors",0.258620689655172,0.524737631184408,0.956002825199054,-1.21806775128839,7
"65","ISR_ Target-Gene_ Cytokine/Chemokine",0.0476289517470882,0.356989298681445,0.0737464937164237,1.68762032704617,13
"66","UPR MT/ER",0.0843724023275145,0.357943525025819,0.18101702519828,1.73795008859931,38
"67","UPR MT/ER_ Sensor/Initiator",0.785023657683604,0.832049636285837,0.999999999994451,0.717771741499487,8
"68","UPR MT/ER_ Sensor/Initiator_ UPR MT",0.267934998018232,0.528322531303557,0.96749490874448,1.18455845020535,2
"69","UPR MT/ER_ Sensor/Initiator_ UPR ER",0.790447154471545,0.832049636285837,0.999999999995501,0.714272111594672,6
"70","UPR MT/ER_ Target-Gene",0.0685798691707111,0.356989298681445,0.128061710920685,1.79629413195051,30
"71","UPR MT/ER_ Target-Gene_ UPR MT",0.59425975634937,0.763269411824879,0.999999982601492,0.878755744935646,11
"72","UPR MT/ER_ Target-Gene_ UPR ER",0.0301950094359404,0.356989298681445,0.0400080584898918,1.96088594425447,19
"73","PANoptosis",0.297266297075129,0.555225064445766,0.988476580701073,-1.10916750776388,33
"74","PANoptosis_ Necroptosis",0.284661624975761,0.553508715230647,0.98173884064552,-1.17608399323273,10
"75","PANoptosis_ Necroptosis_ NLRP3-I",0.157719435736677,0.428216402217549,0.561678941673785,-1.33392889192277,7
"76","PANoptosis_ Necroptosis_ Inflammasome",0.829013461924854,0.866133467682684,0.999999999998955,-0.71960709613762,3
"77","PANoptosis_ Apoptosis",0.464470407967822,0.66541900603036,0.999992598427474,-0.972054070658201,16
"78","PANoptosis_ Apoptosis_ Extrinsic",0.591765391338124,0.763269411824879,0.999999980515004,-0.887416351974767,9
"79","PANoptosis_ Apoptosis_ Intrinsic",0.135775862068966,0.414463329530408,0.431009157931153,-1.36069354427022,7
"80","PANoptosis_ Apoptosis_ Intrinsic/Extrinsic",0.0746419205164414,0.356989298681445,0.147074260693605,-1.32436271911364,2
"81","PANoptosis_ Pyroptosis",0.418299373040752,0.66541900603036,0.999935576475344,-1.06142951678553,7
"82","PANoptosis_ Pyroptosis_ Intrinsic",0.305373785445172,0.555225064445766,0.991522066667478,-1.16745163326153,4
"83","PANoptosis_ Apoptosis/Pyroptosis_ Extrinsic",0.652200120554551,0.774325598509762,0.999999998679397,-0.905705855622515,3
"84","PANoptosis_ PANoptosis Regulators",0.60015512895094,0.763801776460004,0.999999986678374,-0.871936312569953,10
"85","PANoptosis_ PANoptosis Regulators_ Death Factors",0.738172920065253,0.804754856331924,0.999999999964478,0.772789470380017,5
"86","PANoptosis_ PANoptosis Regulators_ Survivial",0.555511965476657,0.745930352359365,0.999999897087743,-0.957913191715401,5
"87","OXPHOS_ Complex I-IV",0.201743955608403,0.452635801296261,0.797718590773245,-1.19953770006341,133
"88","OXPHOS_ Complex I",0.117139570552147,0.398046220018955,0.327771455545499,-1.39716462194364,54
"89","OXPHOS_ Complex II",0.685080723594631,0.784059861831775,0.999999999678876,-0.814381222566909,8
"90","OXPHOS_ Complex III",0.488948683451855,0.691442582659188,0.999997669635485,-0.951829486162769,15
"91","OXPHOS_ Complex IV",0.52715837621498,0.730714580892051,0.999999614183934,-0.90233511326933,35
"92","OXPHOS_ Complex V",0.412731791244504,0.66541900603036,0.999916638210204,-1.00937683127264,22
"93","OXPHOS_ mtDNA Complexes",1,1,0.999999999999997,0,NA
"94","OXPHOS_ MT-DNA tRNA",1,1,0.999999999999997,0,NA
"95","OXPHOS_ MT-Ribosome",0.725102880658436,0.804754856331924,0.999999999939503,0.737963207883829,46
"96","OXPHOS_ MIT-Biogenesis",0.667221297836938,0.780170503428318,0.999999999311021,0.81092981298715,13
"97","OXPHOS_ MIT-Biogenesis_ mtDNA replication",0.150090415913201,0.428216402217549,0.515904170579279,-1.28601213937128,3
"98","OXPHOS_ MIT-Biogenesis_ mtDNA transcription",0.216511867905057,0.467631075392269,0.855990147299484,1.24031835483705,10
"99","Mitochondrial Metabolism",0.301388888888889,0.555225064445766,0.990131678551279,-1.07951934185755,135
"100","Mitochondrial Metabolism_ Glycolysis",0.403916298713765,0.665339218884944,0.999874901462575,-1.02137896792402,17
"101","Mitochondrial Metabolism_ TCA Cycle",0.461553066261629,0.66541900603036,0.999991506581728,-0.967588598991822,20
"102","Mitochondrial Metabolism_ Fatty Acid Synthesis",0.0320739866194412,0.356989298681445,0.0432162305778754,-1.56715861757019,6
"103","Mitochondrial Metabolism_ Fatty Acid Oxidation",0.0548030839758283,0.356989298681445,0.0904852632259126,1.67464737350519,15
"104","Mitochondrial Metabolism_ CoQ Synthesis",0.859608985024958,0.891446354840698,0.999999999999659,0.656078797491995,13
"105","Mitochondrial Metabolism_ ATP/NAD+ Carriers",0.122257053291536,0.398046220018955,0.354952400632147,-1.37702031895064,7
"106","Mitochondrial Metabolism_ Additional Carriers",0.559447764269524,0.745930352359365,0.999999914228527,0.911275238716593,9
"107","Mitochondrial Metabolism_ Urea Cycle",0.0788544527265594,0.356989298681445,0.161239385363289,-1.41337677108334,5
"108","Mitochondrial Metabolism_ Gluconeogenesis",0.605585694193289,0.763801776460004,0.999999989573784,-0.940090108813436,3
"109","Mitochondrial Metabolism_ NADPH Synthesis-Pentose Phosphate Cycle",0.0291223927587564,0.356989298681445,0.0382192893129174,-1.57759555660435,6
"110","Mitochondrial Metabolism_ Nucleotide Synthesis",0.369718982986045,0.631227531927393,0.999415299628885,-1.04422296907747,22
"111","Mitochondrial Metabolism_ Nucleotide Synthesis_ Mitochondrial",0.623373983739837,0.770343882632089,0.999999995299162,0.872018412134682,6
"112","Mitochondrial Metabolism_ Nucleotide Synthesis_ Nuclear",0.136180808274277,0.414463329530408,0.433364892145154,-1.37271910510339,16
"113","Mitochondrial Metabolism_ Folate Single Carbon Metabolism",0.441255978373882,0.66541900603036,0.999977929973626,1.00251247992114,12
"114","Mitochondrial Metabolism_ Peroxisome",0.935452978356637,0.949010267898037,0.999999999999975,-0.598582093109461,23
"115","Antioxidant Defenses",0.00931913275009509,0.356989298681445,0.0102305543494625,-2.03488926927287,25
"116","Antioxidant Defenses_ Glutathione Metabolism",0.00941764366711513,0.356989298681445,0.0103481431873819,-1.93487705716991,15
"117","Cytosolic Protein Import",0.646833829154271,0.774325598509762,0.999999998330739,0.802277570316505,27
"118","Cytosolic Protein Import_ Translocase outer membrane (TOMM)",0.744610604000777,0.804754856331924,0.999999999972609,-0.757232349866722,9
"119","Cytosolic Protein Import_ Translocase Inner Membrane (TIMM)",0.34527248218756,0.596767253163684,0.998314372985841,-1.09663478061498,12
"120","Cytosolic Protein Import_ Pre-sequence Cleavage",0.296039199673336,0.555225064445766,0.987937289982182,1.16987987704716,7
"121","Cytosolic Protein Import_ Thioprotein Import",0.173206500198177,0.428216402217549,0.652452738034176,1.24848489335843,2
"122","HIF",0.176974508984538,0.428216402217549,0.67363058869696,1.37799466121724,73
"123","HIF_ HIF Family",0.108097247337754,0.398046220018955,0.28236303325301,-1.32621870200401,3
"124","HIF_ HIF regulators",0.424347471451876,0.66541900603036,0.999951358099155,1.06750692230643,5
"125","HIF_ HIF1a Regulation of  Mitochondrial",0.203670094777173,0.452635801296261,0.80603865932052,1.25865467491961,4
"126","HIF_ Selected HIF target",0.148194271481943,0.428216402217549,0.504530706839067,1.47043340393295,62
"127","mTOR",0.203686110583318,0.452635801296261,0.806106951846916,-1.24171633228536,30
"128","mTOR_ mTOR Structural",0.223963309764953,0.475073687380204,0.880531874689609,-1.22411894267951,19
"129","mTOR_ mTOR Structural_ mTORC1",0.162598500864886,0.428216402217549,0.590747329310012,-1.32334574713109,15
"130","mTOR_ mTOR Structural_ mTORC2",0.783462224866151,0.832049636285837,0.999999999994105,-0.753540182632451,4
"131","mTOR_ mTOR Activator",0.459197518899011,0.66541900603036,0.999990508975111,-0.996473736176208,11
"132","mTOR_ mTOR Activator_ AMPK",0.0904159132007233,0.372300819061802,0.204308846805883,-1.34734551730632,3
"133","mTOR_ mTOR Activator_ GSK3B",0.613026819923372,0.766283524904214,0.999999992537171,0.917581915391625,4
"134","mTOR_ mTOR Activator_ REDD1",0.139286434186656,0.41489576140706,0.451546046436926,-1.2400717906865,1
"135","mTOR_ mTOR Activator_ AKT",0.582680329515773,0.762385477871104,0.999999970523451,-0.957665046219509,3
"136","Mitophagy",0.463292198284878,0.66541900603036,0.999992175413722,0.947159247300667,23
"137","Mitochondrial Contact Sites",0.914215182061304,0.936085100175609,0.99999999999995,0.58813006215042,8
"138","Mitochondrial Fusion-Fission",0.121752924846322,0.398046220018955,0.352230731013372,-1.3295481919295,4
"139","RAAS",0.74727236659393,0.804754856331924,0.999999999975389,0.834980889387255,1
"140","AGT Regulator Axis",1,1,0.999999999999997,0,NA
"141","AGT Regulator Axis_AGT Regulator Axis",1,1,0.999999999999997,0,NA
"142","AGT Regulator Axis_NADPH Oxidase",1,1,0.999999999999997,0,NA
"143","Tissue Damage",0.74727236659393,0.804754856331924,0.999999999975389,0.834980889387255,1
"144","Tissue Damage_PANapoptosis",0.74727236659393,0.804754856331924,0.999999999975389,0.834980889387255,1
"145","Tissue Damage_Complement activation / Fibrin deposition",0.74727236659393,0.804754856331924,0.999999999975389,0.834980889387255,1
"146","Tissue Damage_Syndecans",1,1,0.999999999999997,0,NA
"147","Vascular Inflammation",1,1,0.999999999999997,0,NA
"148","Vascular Inflammation_Hyaluronan Accumulation",1,1,0.999999999999997,0,NA
"149","Vascular Inflammation_Bradykinin production",1,1,0.999999999999997,0,NA
