"","pathway","pval","padj","HMDPval","NES","size"
"1","MACRO_IMMUNE/MACRO_STRESS",0.260076775431862,0.670365372119758,0.957998440567424,1.10679876435104,604
"2","IMMUNE",0.0363769979790557,0.25463898585339,0.0509333137218714,1.84659370991185,103
"3","IMMUNE/ISR",0.10567936736161,0.435150336194866,0.270829157449754,1.42586003961877,196
"4","IMMUNE/ISR/RAAS",0.105215665042411,0.435150336194866,0.268647600277191,1.42472376190857,197
"5","IMMUNE/ISR/PANOPTOSIS",0.112124463519313,0.448497854077253,0.30215352642016,1.39562850838386,209
"6","IMMUNE/ISR/PANOPTOSIS/SENESCENCE",0.191628515369523,0.614409299007075,0.75066115320398,1.17583887386492,530
"7","IMMUNE/ISR/PANOPTOSIS/SENESCENCE/RAAS",0.193100065402224,0.614409299007075,0.757845191584086,1.17519145953347,531
"8","PANOPTOSIS/SENESCENCE",0.492460589444825,0.806271852164769,0.999998025623288,0.932671433613432,375
"9","STRESS_ISR/UPR",0.296134527189343,0.670365372119758,0.987979991471452,-1.07987666263219,107
"10","STRESS_UPR/Mitophagy/ROS",0.0774040534713238,0.398485841158914,0.156272213154209,-1.32909656503659,83
"11","STRESS_ISR/UPR/Mitophagy/ROS",0.218589025755879,0.637551325121314,0.863157569151498,-1.12144397336675,146
"12","STRESS_UPR/Mitophagy/ROS/RAAS",0.0742018981880932,0.398485841158914,0.145640327423662,-1.33017962175477,84
"13","STRESS_ISR/UPR/Mitophagy/ROS/RAAS",0.217605004468275,0.637551325121314,0.859793742605688,-1.12200140793577,147
"14","MACRO_OXPHOS/MACRO_METABOLISM/MACRO_HIF1a/mTOR",0.465304849524404,0.806271852164769,0.99999288414807,0.973956779941908,723
"15","OXPHOS",0.000230680507497116,0.00887648998224702,0.000231394425828658,-2.19135560316153,247
"16","OXPHOS+TCA",0.000233154581487526,0.00887648998224702,0.000233883334259566,-2.19689341545404,263
"17","OXPHOS+TCA+ECM",0.409031626997066,0.753479312889331,0.999901120458688,0.99475020536442,545
"18","HIF1a/mTOR/GLYCO",0.908768821966342,0.9646714964962,0.999999999999939,0.750037001201539,236
"19","METABOLISM",0.699458288190683,0.882199642763023,0.999999999824875,-0.867301099465806,87
"20","METABOLISM+HIF1a/mTOR/GLYCO",0.908768821966342,0.9646714964962,0.999999999999939,0.750037001201539,236
"21","INDUCED",0.47955647955648,0.806271852164769,0.999996368965268,0.935356034691633,343
"22","INHIBITED",0.000253613999492772,0.00887648998224702,0.00025447103037125,-1.54867489757997,471
"23","EXTRACELLULAR MATRIX",0.00280504908835905,0.0654511453950444,0.00289303116670279,1.86712756553384,282
"24","Mitochondrial Innate Immune",0.00732600732600733,0.102564102564103,0.00789421488557304,-1.44893030736854,2
"25","mtDNA",0.00732600732600733,0.102564102564103,0.00789421488557304,-1.44893030736854,2
"26","mtdsRNA",0.00732600732600733,0.102564102564103,0.00789421488557304,-1.44893030736854,2
"27","Innate Immune",0.0239118251447786,0.225497550858303,0.0299545572976772,1.99180424199532,69
"28","Innate Immune_ Canonical",0.0255102040816327,0.225497550858303,0.032416492582452,1.82769195557661,26
"29","Innate Immune_ Non-Canonical",0.0188714851858841,0.203231378924906,0.0225969393003103,1.8997924586663,22
"30","Innate Immune_ Inflammation",0.167325428194993,0.591963470319635,0.618560991308321,1.28147396484401,18
"31","Innate Immune_ Antigen Presentation",0.0910442214790041,0.400885193133047,0.20682942434711,1.37613770677321,5
"32","Adaptive Immune",0.0821892393320965,0.398485841158914,0.173024003065813,1.43071736839749,54
"33","Adaptive Immune_ Antigen Presentation",0.169132420091324,0.591963470319635,0.629069960849872,1.2979482173033,7
"34","Adaptive Immune_ Cytokines",0.0848722253310949,0.398485841158914,0.182878215038891,1.41470261925163,11
"35","Adaptive Immune_ Interleukins",0.0462100456621005,0.30806697108067,0.0706464770714748,1.49559709371631,7
"36","Adaptive Immune_ Surface Marker/Receptor Signaling",0.2103974383123,0.637551325121314,0.833414821347306,1.19031457601774,29
"37","mtDNA/dsRNA Release",0.291728683818839,0.670365372119758,0.985856672869953,-1.13113575026389,22
"38","mtDNA/dsRNA Release_ mtPTP co-factor/activator",0.307510729613734,0.670365372119758,0.992191260079163,-1.13887658325644,13
"39","mtDNA/dsRNA Release_ BAX-BAK Hyrniation",0.392372333548804,0.75249488625798,0.99978811605608,-1.11675195672888,2
"40","mtDNA/dsRNA Release_ Mitochondrial-derived vesicles",0.656803652968037,0.882199642763023,0.999999998919017,0.856610484018744,7
"41","mtDNA/dsRNA Innate Immune",0.0583302273574357,0.340259659585042,0.0993986965328257,1.54158387309898,42
"42","mtDNA/dsRNA Innate Immune_ Release mtDNA/dsRNA",0.898736529171312,0.9646714964962,0.999999999999914,0.633226515552479,5
"43","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA",0.526444111027757,0.806271852164769,0.999999601053029,0.945661355004483,14
"44","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_ cGAS-STING",0.672683991271573,0.882199642763023,0.999999999455141,0.882638592682036,1
"45","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  NFKB-Signaling",0.487365291713118,0.806271852164769,0.999997488753276,1.01029760028739,5
"46","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 activator",0.835291923148666,0.928102136831851,0.999999999999172,0.768290943651906,2
"47","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 repressor",0.244366457332841,0.670365372119758,0.931959092136213,1.18670131640142,3
"48","mtDNA/dsRNA Innate Immune_ Activated by mtDNA",0.18052738336714,0.601757944557133,0.693140807111049,1.27758517728563,9
"49","mtDNA/dsRNA Innate Immune_ Activated by mtDNA_ Toll Like Receptor",0.388811743701647,0.75249488625798,0.999751020873264,1.07416578899523,1
"50","mtDNA/dsRNA Innate Immune_ Activated by mtDNA_ Inflammasome",0.242630803242447,0.670365372119758,0.928417318505422,1.21125969504785,8
"51","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA",0.0273818454613653,0.225497550858303,0.0353811604416594,1.65101640699848,14
"52","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA_ Toll Like Receptor",0.822048125349748,0.924964262508122,0.999999999998645,0.777269594533096,2
"53","mtDNA/dsRNA Innate Immune_ Activated by mtdsRNA_ MAVS singlesome",0.0259861656384371,0.225497550858303,0.0331619636994058,1.63845470101096,12
"54","ISR",0.274231678486998,0.670365372119758,0.973710906808366,-1.10234345879695,70
"55","ISR_ Sensor/Initiator",0.0556630131098216,0.338818340668479,0.0926155487295156,-1.52856627399109,12
"56","ISR_ Regulator",0.698713235294118,0.882199642763023,0.999999999819318,0.827802837923227,6
"57","ISR_ Regulator_ ISR Activator",0.719703574542284,0.886566192115688,0.999999999924481,-0.779642179556417,3
"58","ISR_ Regulator_ ISR Inhibitor",0.683967491688216,0.882199642763023,0.999999999663337,0.878043566184054,3
"59","ISR_ Target-Gene",0.624585329893107,0.865761843416188,0.999999995545796,0.856839605810034,52
"60","ISR_ Target-Gene_ AA-Uptake/Biosynthesis",0.987439970446989,0.987439970446989,0.999999999999995,0.474802756021406,3
