"","pathway","pval","padj","HMDPval","NES","size"
"1","MACRO_IMMUNE/MACRO_STRESS",0.00867052023121387,0.335731414868105,0.00946132091879637,1.52915037122286,605
"2","IMMUNE",0.996212583995113,1,0.999999999999997,-0.507019755674551,104
"3","IMMUNE/ISR",0.133096085409253,0.513705194556258,0.415516991416745,1.45810328285874,197
"4","IMMUNE/ISR/RAAS",0.141737891737892,0.522192232718548,0.466023437987453,1.4352906652396,198
"5","IMMUNE/ISR/PANOPTOSIS",0.146520146520147,0.525969756738988,0.494506508308238,1.41329871554067,210
"6","IMMUNE/ISR/PANOPTOSIS/SENESCENCE",0.0158582089552239,0.370003303600925,0.0184804303027711,1.5059403437021,531
"7","IMMUNE/ISR/PANOPTOSIS/SENESCENCE/RAAS",0.0177404295051354,0.370003303600925,0.0210276857973722,1.49986745840829,532
"8","PANOPTOSIS/SENESCENCE",0.0874125874125874,0.422518376860097,0.192518787197412,1.39387976911904,375
"9","STRESS_ISR/UPR",0.0551801801801802,0.422518376860097,0.0914160753001217,1.85286746839876,107
"10","STRESS_UPR/Mitophagy/ROS",0.0233265720081136,0.408215010141988,0.0290689198249462,2.12894160201421,83
"11","STRESS_ISR/UPR/Mitophagy/ROS",0.0607805502239283,0.422518376860097,0.10586962406358,1.77254074425253,146
"12","STRESS_UPR/Mitophagy/ROS/RAAS",0.0277492291880781,0.413146466640347,0.0359736400931106,2.07603904767897,84
"13","STRESS_ISR/UPR/Mitophagy/ROS/RAAS",0.0722044728434505,0.422518376860097,0.139238185118581,1.74040643414397,147
"14","MACRO_OXPHOS/MACRO_METABOLISM/MACRO_HIF1a/mTOR",0.201918835465373,0.605902777777778,0.798482709679428,-1.2003353850469,724
"15","OXPHOS",0.999999,1,0.999999999999997,0.429244859860054,247
"16","OXPHOS+TCA",0.999999,1,0.999999999999997,-0.472830762063615,263
"17","OXPHOS+TCA+ECM",0.17363595706619,0.57705823134248,0.654889656863159,-1.2584719276211,546
"18","HIF1a/mTOR/GLYCO",0.410701956271577,0.852762024784709,0.999908448892463,-0.983220647458858,236
"19","METABOLISM",0.193136769078295,0.600869948243586,0.758022958150509,-1.24414523674633,87
"20","METABOLISM+HIF1a/mTOR/GLYCO",0.410701956271577,0.852762024784709,0.999908448892463,-0.983220647458858,236
"21","INDUCED",0.0875216637781629,0.422518376860097,0.192939524324629,1.41361072831951,343
"22","INHIBITED",0.850737861890278,1,0.999999999999529,-0.735851917052854,471
"23","EXTRACELLULAR MATRIX",0.0938919164396004,0.438162276718135,0.218488610954427,-1.48301681294566,283
"24","Mitochondrial Innate Immune",0.400670890793887,0.852762024784709,0.99985484454825,-1.08217918762863,2
"25","mtDNA",0.400670890793887,0.852762024784709,0.99985484454825,-1.08217918762863,2
"26","mtdsRNA",0.400670890793887,0.852762024784709,0.99985484454825,-1.08217918762863,2
"27","Innate Immune",0.571703561116458,0.942031359189378,0.999999951254801,0.826347774714415,69
"28","Innate Immune_ Canonical",0.255958549222798,0.663596238725772,0.952148330455026,1.12140129427005,26
"29","Innate Immune_ Non-Canonical",0.707544034562978,0.942031359189378,0.999999999875067,0.790544783184204,22
"30","Innate Immune_ Inflammation",0.685614480787552,0.942031359189378,0.999999999686065,0.806986966594911,18
"31","Innate Immune_ Antigen Presentation",0.321979865771812,0.764020020475486,0.995585598403738,-1.15427835856206,5
"32","Adaptive Immune",0.492246344705361,0.915397354006297,0.999998005558047,0.877056503465861,55
"33","Adaptive Immune_ Antigen Presentation",0.343273905996758,0.80097244732577,0.998165689323062,-1.12354374705306,7
