"","pathway","pval","padj","HMDPval","NES","size"
"1","MACRO_IMMUNE/MACRO_STRESS",0.895389799356716,0.951499967880773,0.999999999999904,-0.694053524268222,607
"2","IMMUNE",0.749671772428884,0.868397412863816,0.999999999977648,0.766201392563257,105
"3","IMMUNE/ISR",0.425640126271484,0.723435724800478,0.999954199262054,-0.927902954546628,198
"4","IMMUNE/ISR/RAAS",0.413539109084532,0.723435724800478,0.999919690968003,-0.941168011850455,199
"5","IMMUNE/ISR/PANOPTOSIS",0.446930280957336,0.723435724800478,0.999983091885843,-0.912390060556483,211
"6","IMMUNE/ISR/PANOPTOSIS/SENESCENCE",0.737972275074749,0.868202676558528,0.999999999964188,0.819747599590495,533
"7","IMMUNE/ISR/PANOPTOSIS/SENESCENCE/RAAS",0.75054347826087,0.868397412863816,0.999999999978415,0.814609129692066,534
"8","PANOPTOSIS/SENESCENCE",0.471074380165289,0.741015878911691,0.999994580365569,0.939842532610871,376
"9","STRESS_ISR/UPR",0.26563071297989,0.610409623036408,0.964922622484029,-1.10119226197507,107
"10","STRESS_UPR/Mitophagy/ROS",0.138690148596588,0.524477705020268,0.448040428657889,-1.48470844089306,83
"11","STRESS_ISR/UPR/Mitophagy/ROS",0.297944593386953,0.622570792151841,0.988765188002294,-1.07388602849728,146
"12","STRESS_UPR/Mitophagy/ROS/RAAS",0.138172439204127,0.524477705020268,0.445002232016711,-1.49494755947432,84
"13","STRESS_ISR/UPR/Mitophagy/ROS/RAAS",0.293632286995516,0.622570792151841,0.986812501985635,-1.08613116919161,147
"14","MACRO_OXPHOS/MACRO_METABOLISM/MACRO_HIF1a/mTOR",0.293176328502415,0.622570792151841,0.98658903149847,1.0988652376027,726
"15","OXPHOS",0.267090346959808,0.610409623036408,0.9665715002878,-1.24283289196801,247
"16","OXPHOS+TCA",0.234652114597544,0.608357334141782,0.910219487273196,-1.30665743855829,263
"17","OXPHOS+TCA+ECM",0.191301954307735,0.555593935904817,0.749051983025256,1.21353096446806,548
"18","HIF1a/mTOR/GLYCO",0.258959338387319,0.610409623036408,0.956473931059029,-1.25829654352743,236
"19","METABOLISM",0.154114621601763,0.524477705020268,0.540068108337764,-1.41191833651395,87
"20","METABOLISM+HIF1a/mTOR/GLYCO",0.258959338387319,0.610409623036408,0.956473931059029,-1.25829654352743,236
"21","INDUCED",0.434029546612328,0.723435724800478,0.999969039456234,0.960360088805168,344
"22","INHIBITED",0.428910327376245,0.723435724800478,0.99996067522793,-1.03327681502236,473
