"","pathway","pval","padj","HMDPval","NES","size"
"1","MACRO_IMMUNE/MACRO_STRESS",0.0125987401259874,0.065326800653268,0.0142541095655667,-1.13909806772873,604
"2","IMMUNE",0.367584958777398,0.618747157799,0.999357611366333,-1.06293489640281,103
"3","IMMUNE/ISR",0.270335167583792,0.548506137126534,0.969999898375191,-1.07383462326929,196
"4","IMMUNE/ISR/RAAS",0.276438219109555,0.55103647336657,0.975629410649639,-1.07191360375149,197
"5","IMMUNE/ISR/PANOPTOSIS",0.251775532659798,0.518361390770172,0.945526209909762,-1.07711776579544,209
"6","IMMUNE/ISR/PANOPTOSIS/SENESCENCE",0.362063793620638,0.618747157799,0.999181683399967,-1.02894437304429,530
"7","IMMUNE/ISR/PANOPTOSIS/SENESCENCE/RAAS",0.364063593640636,0.618747157799,0.999250196495415,-1.02844291143515,531
"8","PANOPTOSIS/SENESCENCE",0.516048395160484,0.768582716196465,0.999999350156237,-1.00163918259203,375
"9","STRESS_ISR/UPR",0.0767065446868403,0.214778325123153,0.153917277211493,-1.20197936484563,107
"10","STRESS_UPR/Mitophagy/ROS",0.000100694794079146,0.00118696374673585,0.000100839037917096,-1.47541295284901,83
"11","STRESS_ISR/UPR/Mitophagy/ROS",0.000501202886928629,0.00467789361133387,0.000504386849232689,-1.36049888027041,146
"12","STRESS_UPR/Mitophagy/ROS/RAAS",0.000100664384940608,0.00118696374673585,0.000100808544682381,-1.47406306285983,84
"13","STRESS_ISR/UPR/Mitophagy/ROS/RAAS",0.000701613711536534,0.00564015792442188,0.000707698984982977,-1.35876335783337,147
"14","MACRO_OXPHOS/MACRO_METABOLISM/MACRO_HIF1a/mTOR",9.99900009999e-05,0.00118696374673585,0.000100132301803749,-1.46746045487429,723
"15","OXPHOS",9.99900009999e-05,0.00118696374673585,0.000100132301803749,-1.65413125742335,247
"16","OXPHOS+TCA",9.99900009999e-05,0.00118696374673585,0.000100132301803749,-1.66787908038624,263
"17","OXPHOS+TCA+ECM",9.99900009999e-05,0.00118696374673585,0.000100132301803749,-1.48316652107742,545
"18","HIF1a/mTOR/GLYCO",1e-04,0.00118696374673585,0.000100142328281297,-1.53364816831555,236
"19","METABOLISM",0.00533306500301872,0.0311095458509425,0.00563881631252182,-1.3634263738238,87
"20","METABOLISM+HIF1a/mTOR/GLYCO",1e-04,0.00118696374673585,0.000100142328281297,-1.53364816831555,236
"21","INDUCED",0.444555544445555,0.683475272672942,0.999981096324126,-1.01731750996435,343
"22","INHIBITED",0.969003099690031,0.983046622873945,0.999999999999992,-0.847496401759048,471
"23","EXTRACELLULAR MATRIX",0.999999,1,0.999999999999997,-0.507197597668163,282
"24","Mitochondrial Innate Immune",0.836615451201039,0.941371799330499,0.999999999999211,0.748958382587468,2
"25","mtDNA",0.836615451201039,0.941371799330499,0.999999999999211,0.748958382587468,2
"26","mtdsRNA",0.836615451201039,0.941371799330499,0.999999999999211,0.748958382587468,2
"27","Innate Immune",0.383008778125315,0.630837987500519,0.999676576896255,-1.06827555216331,69
"28","Innate Immune_ Canonical",0.299394197045382,0.558869167818047,0.989360047266793,-1.14967801794199,26
"29","Innate Immune_ Non-Canonical",0.585426862425231,0.816448630861612,0.999999973996801,-0.963205924397072,22
"30","Innate Immune_ Inflammation",0.87753728832567,0.952366049345688,0.99999999999982,-0.65958712965423,18
"31","Innate Immune_ Antigen Presentation",0.0596350689808634,0.177636375687678,0.102815645640288,-1.38089809967891,5
"32","Adaptive Immune",0.230177215189873,0.495766309639727,0.89855905045191,-1.156849345115,54
"33","Adaptive Immune_ Antigen Presentation",0.553261315465609,0.806839418387347,0.999999885770445,-0.987759987893513,7
"34","Adaptive Immune_ Cytokines",0.0799313473090597,0.219419384769968,0.164989244045119,-1.36672153869181,11
"35","Adaptive Immune_ Interleukins",0.0261178722822371,0.0914125529878299,0.033369260319293,-1.45062308123119,7
"36","Adaptive Immune_ Surface Marker/Receptor Signaling",0.589009369407306,0.816448630861612,0.999999977913097,-0.961101129313727,29
"37","mtDNA/dsRNA Release",0.0842849374660141,0.226920985485423,0.180692532138239,-1.33846473833021,22
"38","mtDNA/dsRNA Release_ mtPTP co-factor/activator",0.0580399619410086,0.177636375687678,0.0986474649180169,-1.39317727376467,13
"39","mtDNA/dsRNA Release_ BAX-BAK Hyrniation",0.0962995022722355,0.245126005783872,0.228646587546802,1.31520935572687,2
"40","mtDNA/dsRNA Release_ Mitochondrial-derived vesicles",0.40927116094626,0.666255378284609,0.999902205784957,-1.10258387261919,7
"41","mtDNA/dsRNA Innate Immune",0.933217604411314,0.967781219389511,0.999999999999973,-0.634237820255049,42
"42","mtDNA/dsRNA Innate Immune_ Release mtDNA/dsRNA",0.457647233348168,0.688931319018747,0.999989789557562,-1.0670942408675,5
"43","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA",0.160190865712338,0.373778686662122,0.57643830638334,1.29269117620797,14
"44","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_ cGAS-STING",0.712755405673478,0.896762791499634,0.999999999899378,0.857390467739033,1
"45","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  NFKB-Signaling",0.798528058877645,0.93944477515017,0.999999999996701,0.695112219135925,5
"46","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 activator",0.853711317896559,0.941371799330499,0.999999999999578,0.714857015298416,2
"47","mtDNA/dsRNA Innate Immune_ Activated by mtDNA/dsRNA_  ZBP1 repressor",0.235621072982117,0.499802276022672,0.912603344836155,1.22361542104629,3
"48","mtDNA/dsRNA Innate Immune_ Activated by mtDNA",0.613392857142857,0.820190327167692,0.999999992658609,0.856587625606429,9
