"","pathway","pval","padj","HMDPval","NES","size"
"1","Mitochondrial central dogma",0.215958213256484,0.661095830920672,0.854036838397602,-1.12454948175818,229
"2","mtDNA maintenance",0.589033457249071,0.773592441067602,0.999999977937299,-0.887028547945206,31
"3","mtDNA replication",0.348837209302326,0.661095830920672,0.998551475049139,1.07863795789419,14
"4","mtDNA nucleoid",0.172407231208373,0.64,0.647902452801497,-1.28859205952066,11
"5","mtDNA repair",0.593266415725638,0.773592441067602,0.999999981799158,0.890640452945907,9
"6","mtDNA modifications",0.73508353221957,0.842518817697815,0.999999999959737,0.839570775156153,1
"7","mtDNA stability and decay",0.0369387755102041,0.637441489500798,0.05198000838454,1.42178924432325,3
"8","mtRNA metabolism",0.315646504889533,0.661095830920672,0.994317588009265,-1.04649142940907,76
"9","Transcription",0.142528735632184,0.637441489500798,0.470714030288222,-1.33425923208728,9
"10","mtRNA granules",0.258028169014084,0.661095830920672,0.955168246576752,-1.1494380456599,27
"11","Polycistronic mtRNA processing",0.288365862992729,0.661095830920672,0.984014522955947,-1.1518392628317,13
"12","mt-tRNA modifications",0.46055660179954,0.718212451201972,0.999991097995389,0.973015803865786,21
"13","mt-rRNA modifications",0.698899826288361,0.833088592935727,0.999999999820727,-0.818225324747451,18
"14","mt-mRNA modifications",0.141147338010731,0.637441489500798,0.46252687015942,1.31340281961089,4
"15","mtRNA stability and decay",0.201989288446825,0.654269651708193,0.79879005653185,-1.23232772064401,17
"16","Translation",0.111672379577846,0.637441489500798,0.299896483299958,-1.34335191538661,155
"17","Mitochondrial ribosome",0.184941520467836,0.64,0.716678426582871,-1.16984520275811,83
"18","Mitochondrial ribosome assembly",0.11123787792356,0.637441489500798,0.297735568652838,-1.34635549548203,24
"19","Translation factors",0.193288590604027,0.64,0.758757534269284,-1.2475556757873,16
"20","mt-tRNA synthetases",0.491846795601062,0.718482083770179,0.999997967590551,-0.960150185615794,22
"21","fMet processing",0.915131321050568,0.967354663521538,0.999999999999951,-0.612110383992633,3
"22","Protein import, sorting and homeostasis",0.284473398479913,0.661095830920672,0.981615847139013,-1.06476399730787,87
"23","Protein import and sorting",0.63825402772574,0.790189960863949,0.99999999756739,-0.857135782800766,49
"24","TOM",0.903805938937683,0.967354663521538,0.999999999999928,0.627296907489538,9
"25","SAM",0.969183673469388,0.989098406485882,0.999999999999992,0.475801038428644,3
"26","MIA40",0.564288514308114,0.773592441067602,0.999999931414791,-0.982032221102035,3
"27","TIM22 carrier pathway",0.131909055272442,0.637441489500798,0.408712375974533,-1.27834868810269,3
"28","TIM23 presequence pathway",0.918066791122174,0.967354663521538,0.999999999999956,0.586726637378982,6
"29","Import motor",0.280640802933797,0.661095830920672,0.978945992472229,-1.18063593738032,6
"30","OXA",0.643198090692124,0.790189960863949,0.999999998042508,0.903171072437095,1
"31","Preprotein cleavage",0.573384763741562,0.773592441067602,0.999999954878021,-0.926125025938146,8
"32","Protein homeostasis",0.348880597014925,0.661095830920672,0.99855415440503,-1.03486448253239,52
"33","Proteases",0.0368430895829437,0.637441489500798,0.0518010745799109,-1.61435052464073,28
"34","Chaperones",0.69145370758274,0.830859697014744,0.999999999754781,0.814899585409929,17
"35","OXPHOS",0.0652840396753832,0.637441489500798,0.118380832921337,-1.55514949795404,154
"36","OXPHOS subunits",0.0604743798660148,0.637441489500798,0.105048327831822,-1.58001904293238,88
"37","OXPHOS assembly factors",0.0971585701191567,0.637441489500798,0.232337755702972,-1.34422979682287,67
"38","Complex I",0.0908755079423716,0.637441489500798,0.206150757977745,-1.36125014516362,57
"39","CI subunits",0.0949190396426577,0.637441489500798,0.222788513457859,-1.36909764746727,36
"40","CI assembly factors",0.169634309783649,0.64,0.631974738207459,-1.25184483034982,21
"41","Complex II",0.412729026036644,0.679237463738085,0.99991662756009,-1.06268338375364,8
"42","CII subunits",0.574476338246703,0.773592441067602,0.999999957083431,-0.96896078324043,4
"43","CII assembly factors",0.312645461598138,0.661095830920672,0.993605102800571,-1.15940235661099,4
"44","Complex III",0.105669109139992,0.637441489500798,0.270780789611466,-1.36701270497101,15
"45","CIII subunits",0.162835249042146,0.64,0.592149874293646,-1.30832208648914,9
"46","CIII assembly factors",0.354950781702374,0.661095830920672,0.998885710429241,-1.12334263626439,6
"47","Complex IV",0.114066304551414,0.637441489500798,0.311947856918571,-1.30916948459894,47
"48","CIV subunits",0.350511484269446,0.661095830920672,0.998651499706524,-1.07761903451185,18
"49","CIV assembly factors",0.147372358331775,0.637441489500798,0.499606803969206,-1.2756464339964,29
"50","Complex V",0.166317792578497,0.64,0.612668641673561,-1.25746177898389,23
"51","CV subunits",0.0609920864697935,0.637441489500798,0.106439212286805,-1.46866466178138,18
"52","CV assembly factors",0.415450996507089,0.679237463738085,0.999926488233811,1.0861919344245,5
"53","Respirasome assembly",0.310512024825446,0.661095830920672,0.993049179573322,-1.16116296435692,4
"54","Cytochrome C",0.329011981928894,0.661095830920672,0.996681090973711,-1.11735689029136,2
"55","Metabolism",0.408813559322034,0.679237463738085,0.999900122101221,0.995714256386721,455
"56","Carbohydrate metabolism",0.149734578070657,0.637441489500798,0.513768598360191,-1.22711342362205,71
"57","Gluconeogenesis",0.620749613601236,0.777241112828439,0.999999994716147,-0.884833930724357,7
"58","Malate-aspartate shuttle",0.799266550858908,0.888736687149084,0.999999999996793,-0.730964183737509,6
"59","Glycerol phosphate shuttle",0.475338106603023,0.718212451201972,0.99999556858545,1.01672629935031,1
"60","Pyruvate metabolism",0.887196297724643,0.957914843195448,0.999999999999872,-0.674188518403041,14
"61","TCA cycle",0.0982194141298105,0.637441489500798,0.236944158994634,-1.37520318838729,21
"62","TCA-associated",0.16532721010333,0.64,0.606855334418008,-1.29074578886208,13
"63","Itaconate metabolism",0.0413047674194171,0.637441489500798,0.0604361692972277,-1.47530062692311,6
"64","Ketone metabolism",0.600578592092575,0.773592441067602,0.999999986930929,-0.898964109748506,8
"65","Propanoate metabolism",0.433281613653995,0.694182370262853,0.999967937450692,-1.07017524346013,4
