"","pathway","pval","padj","HMDPval","NES","size"
"1","Mitochondrial central dogma",0.514340960360941,0.714502923976608,0.999999295845156,-0.928795261202249,229
"2","mtDNA maintenance",0.63653939101015,0.794171068936281,0.99999999737649,0.817989793918047,31
"3","mtDNA replication",0.274803876326719,0.606537300560586,0.974220680538402,1.14827213706586,14
"4","mtDNA nucleoid",0.528796739323055,0.714502923976608,0.999999642683443,-0.943237472676157,11
"5","mtDNA repair",0.667111704494882,0.808269297370325,0.999999999307762,0.818150332286948,9
"6","mtDNA modifications",0.775113929066772,0.867385228819582,0.999999999991838,-0.814656926176505,1
"7","mtDNA stability and decay",0.341319882303489,0.610196823976739,0.998008300916364,1.14457797982355,3
"8","mtRNA metabolism",0.848199805384366,0.92249467884869,0.999999999999484,-0.739720822672907,76
"9","Transcription",0.0724400871459695,0.546910293643111,0.139984300198493,-1.45998707823698,9
"10","mtRNA granules",0.562394806443857,0.722386432414954,0.9999999251497,0.868782920805628,27
"11","Polycistronic mtRNA processing",0.74791280148423,0.86386827458256,0.999999999976014,0.756769990846598,13
"12","mt-tRNA modifications",0.344573735454761,0.610196823976739,0.998263746450673,1.04674076967003,21
"13","mt-rRNA modifications",0.65111383967725,0.801784810842233,0.999999998615364,-0.835139667700641,18
"14","mt-mRNA modifications",0.52425137072965,0.714502923976608,0.999999557863589,0.992733872129006,4
"15","mtRNA stability and decay",0.570455735987428,0.726477817625015,0.999999948376425,-0.899715108403205,17
"16","Translation",0.169111720135418,0.546910293643111,0.628950020162421,-1.20385758889411,155
"17","Mitochondrial ribosome",0.176185866408519,0.546910293643111,0.669237360842498,-1.19970452939051,83
"18","Mitochondrial ribosome assembly",0.457530949105915,0.674971400166151,0.999989733455346,-0.985044940712395,24
"19","Translation factors",0.142478813559322,0.546910293643111,0.470417671760684,-1.32696380208357,16
"20","mt-tRNA synthetases",0.814165377342273,0.89859734239999,0.999999999998178,-0.728149655704463,22
"21","fMet processing",0.957755359394704,0.964226679390614,0.999999999999988,0.516802742728742,3
"22","Protein import, sorting and homeostasis",0.117418728772441,0.546910293643111,0.329227872655711,-1.3234067958488,85
"23","Protein import and sorting",0.44751749416861,0.66680106631123,0.999983552158643,-0.973220425168792,47
"24","TOM",0.762572318647085,0.867353247926837,0.999999999986629,0.742331062141395,9
"25","SAM",0.309496567505721,0.606776165241479,0.992769170187623,-1.15813832228274,3
"26","MIA40",0.33695652173913,0.610196823976739,0.997609252267541,-1.13835623795788,3
"27","TIM22 carrier pathway",0.318411097099622,0.609967834869686,0.994907939538997,1.1624828896236,3
"28","TIM23 presequence pathway",0.921854552252757,0.964226679390614,0.999999999999961,-0.573929010369404,6
"29","Import motor",0.462516358197794,0.675636640896777,0.999991883787584,-1.02540300698908,6
"30","OXA",0.780064568200161,0.867385228819582,0.999999999993272,0.811790445063524,1
"31","Preprotein cleavage",0.222991437420295,0.567910585060714,0.877513990603386,-1.23833556269792,8
"32","Protein homeostasis",0.064157824933687,0.546910293643111,0.115175526296729,-1.52579234753244,51
"33","Proteases",0.0290896646132786,0.546910293643111,0.0381651900510962,-1.75173386937817,28
"34","Chaperones",0.711864406779661,0.835179500867476,0.999999999895593,-0.798463651689907,16
"35","OXPHOS",0.090453074433657,0.546910293643111,0.204457404902424,-1.40645016568544,153
"36","OXPHOS subunits",0.130764269590455,0.546910293643111,0.40218605132822,-1.28944261580122,87
"37","OXPHOS assembly factors",0.103645577897662,0.546910293643111,0.261334313035141,-1.36012738117776,67
"38","Complex I",0.0988992935764745,0.546910293643111,0.239924329407208,-1.38397261784852,57
"39","CI subunits",0.139326223125106,0.546910293643111,0.451780202828759,-1.29866899431723,36
"40","CI assembly factors",0.157831117250907,0.546910293643111,0.562347145443815,-1.28831160294679,21
"41","Complex II",0.292949535434505,0.606537300560586,0.986476608295469,-1.17116443476658,8
"42","CII subunits",0.29467680608365,0.606537300560586,0.987311792315728,-1.17520690357922,4
"43","CII assembly factors",0.53574144486692,0.714502923976608,0.999999741780172,-0.982178222862089,4
"44","Complex III",0.101214574898785,0.546910293643111,0.250236524565737,-1.40428565899337,15
"45","CIII subunits",0.153231663035585,0.546910293643111,0.534766670589107,-1.32339898467087,9
"46","CIII assembly factors",0.329968218358572,0.610196823976739,0.996808567345981,-1.1431366638908,6
"47","Complex IV",0.535159512276599,0.714502923976608,0.999999734663601,-0.914986845355345,46
"48","CIV subunits",0.537076023391813,0.714502923976608,0.999999757383203,0.902890957380361,17
"49","CIV assembly factors",0.17183242506812,0.546910293643111,0.644618385876283,-1.25704074551701,29
"50","Complex V",0.172033752367832,0.546910293643111,0.645769728950838,-1.26539624787937,23
"51","CV subunits",0.137695141203298,0.546910293643111,0.44220585107407,-1.33432423146996,18
"52","CV assembly factors",0.918046709129512,0.964226679390614,0.999999999999956,0.580169670870369,5
"53","Respirasome assembly",0.280798479087452,0.606537300560586,0.979062264442909,-1.18956951588645,4
"54","Cytochrome C",0.0205439248679319,0.546910293643111,0.024971456137739,-1.39503619339893,2
"55","Metabolism",0.203528468323978,0.561091428571429,0.805434113848547,-1.15512918488877,445
"56","Carbohydrate metabolism",0.15014164305949,0.546910293643111,0.516211647104955,1.3894206008064,68
"57","Gluconeogenesis",0.373868046571798,0.621900774961999,0.999513447869513,-1.09768124054141,7
"58","Malate-aspartate shuttle",0.439708356702187,0.66680106631123,0.999976268711103,-1.0450045420304,6
"59","Glycerol phosphate shuttle",0.30407586763519,0.606537300560586,0.991090295892126,1.13226196716703,1
"60","Pyruvate metabolism",0.871912491178546,0.934640008529521,0.99999999999978,-0.66499252322423,14
"61","TCA cycle",0.0804159445407279,0.546910293643111,0.166693948379508,-1.4526944321372,20
"62","TCA-associated",0.209647495361781,0.561091428571429,0.830494084883089,1.23648107335898,13
"63","Itaconate metabolism",0.379818594104308,0.621900774961999,0.999626834749621,-1.10046942028353,5
"64","Ketone metabolism",0.0629492485297321,0.546910293643111,0.111793006001983,1.50161296243033,7
"65","Propanoate metabolism",0.379467680608365,0.621900774961999,0.999620928922671,-1.10554403049668,4
"66","Lipid metabolism",0.21088,0.561091428571429,0.83527670082293,-1.15251216070082,121
"67","Fatty acid oxidation",0.0634947227341263,0.546910293643111,0.11331237031371,-1.50768156596239,43
"68","Type II fatty acid synthesis",0.430315175806158,0.66680106631123,0.999963170960234,-1.04118475806752,8
"69","Lipoate insertion",0.553422053231939,0.717920913650014,0.999999886618843,-0.965769241091203,4
"70","Cardiolipin synthesis",0.846100439713029,0.92249467884869,0.999999999999443,0.676621878714746,15
"71","Cholesterol, bile acid, steroid synthesis",0.954601879765916,0.964226679390614,0.999999999999987,-0.550445510436765,12
"72","Cholesterol-associated",0.174134220309137,0.546910293643111,0.65770982317556,-1.23869196025038,2
"73","Phospholipid metabolism",0.756845186843465,0.867353247926837,0.999999999983216,-0.774642435608299,23
"74","Eicosanoid metabolism",0.0638825324180015,0.546910293643111,0.114399863214761,-1.39199110443429,3
"75","Amino acid metabolism",0.146467085144053,0.546910293643111,0.494189140077441,-1.25555579389711,89
"76","Branched-chain amino acid metabolism",0.0483321987746766,0.546910293643111,0.075308045830605,-1.56779019926442,25
"77","Branched-chain amino acid dehydrogenase complex",0.52869695270144,0.714502923976608,0.999999641009902,-0.968573741017808,6
"78","Lysine metabolism",0.0715042372881356,0.546910293643111,0.137034992858414,-1.47436936507835,16
"79","Serine metabolism",0.260582010582011,0.604711520943986,0.958672801599379,-1.21036096725275,5
"80","Glycine metabolism",0.173384967435311,0.546910293643111,0.653466125375446,-1.28894981146116,15
"81","Glycine cleavage system",0.931749049429658,0.964226679390614,0.999999999999972,-0.564980523117653,4
"82","Glutamate metabolism",0.342844696144631,0.610196823976739,0.998132167747201,1.12412478367126,7
"83","Proline metabolism",0.966043412851924,0.966043412851924,0.999999999999991,0.508918276106163,6
"84","Glyoxylate metabolism",0.110220440881764,0.546910293643111,0.292707770062571,-1.3911490028246,8
"85","GABA metabolism",0.296504019442887,0.606537300560586,0.988144210410774,-1.17808700722239,6
"86","Catechol metabolism",0.181540808543097,0.552032254549417,0.698616514496485,-1.2662653356871,3
"87","Kynurenine metabolism",0.933638443935927,0.964226679390614,0.999999999999974,-0.570797126721927,3
"88","Urea cycle",0.393813983881507,0.62560472453685,0.999801547702679,1.07308180827438,7
"89","Nucleotide metabolism",0.71034366006433,0.835179500867476,0.999999999888793,-0.806853097367475,36
"90","Nucleotide import",0.0742757569157046,0.546910293643111,0.145880418898383,1.4737337703793,7
"91","Nucleotide synthesis and processing",0.207187070151307,0.561091428571429,0.820679795353779,-1.21927856147096,24
"92","Creatine metabolism",0.707093821510298,0.835179500867476,0.999999999872703,-0.84314460091974,3
"93","Metals and cofactors",0.23217141029741,0.567910585060714,0.903889078768549,-1.12655455321037,115
