"","pathway","pval","padj","HMDPval","NES","size"
"1","Mitochondrial central dogma",0.000171909919202338,0.00453080338137809,0.000172314851041953,-2.10682593400537,229
"2","mtDNA maintenance",0.042736545902216,0.11577718798964,0.0633368485317011,-1.57350536879094,31
"3","mtDNA replication",0.183442742523705,0.23767798813941,0.708778988316937,-1.2699773061512,14
"4","mtDNA nucleoid",0.0544883635020318,0.128869304155599,0.0897124186699735,-1.48817205924115,11
"5","mtDNA repair",0.530003727171077,0.572250401076018,0.999999662314596,-0.965765500264826,9
"6","mtDNA modifications",0.310877749157916,0.359075849802554,0.993147547499277,-1.12634146295349,1
"7","mtDNA stability and decay",0.475390625,0.517831903812271,0.999995579561294,-1.05090254830754,3
"8","mtRNA metabolism",0.0418565400843882,0.11577718798964,0.0615463973947282,-1.60219975592781,76
"9","Transcription",0.0790160268356318,0.145701095116326,0.161798633267068,-1.42299286066558,9
"10","mtRNA granules",0.0720720720720721,0.143183183183183,0.138819973829947,-1.44834280116908,27
"11","Polycistronic mtRNA processing",0.134322888033718,0.198643414396852,0.422587703913986,-1.34283242316339,13
"12","mt-tRNA modifications",0.275739223370146,0.328681154257214,0.975035383815565,-1.1516617920232,21
"13","mt-rRNA modifications",0.0784031648983996,0.145701095116326,0.159683650752967,-1.43891485456207,18
"14","mt-mRNA modifications",0.709416522241479,0.723993574068359,0.999999999884426,-0.831351880461434,4
"15","mtRNA stability and decay",0.08633741888969,0.153146135887664,0.188401559995286,-1.41857774606798,17
"16","Translation",0.000169750466813784,0.00453080338137809,0.000170145644649308,-2.15583854002255,155
"17","Mitochondrial ribosome",0.000170096955264501,0.00453080338137809,0.000170493690450059,-2.11820378876995,83
"18","Mitochondrial ribosome assembly",0.0417995040736805,0.11577718798964,0.0614311933660252,-1.56453110921711,24
"19","Translation factors",0.0189257390050469,0.100450849028779,0.0226729496168039,-1.69660040324507,16
"20","mt-tRNA synthetases",0.0376086570871031,0.114361018489354,0.0532402491201007,-1.5912977839609,22
"21","fMet processing",0.07109375,0.143148226351351,0.135753318425577,-1.36156983823128,3
"22","Protein import, sorting and homeostasis",0.0035677879714577,0.0531600407747197,0.00370790287864282,-1.90172775539852,85
"23","Protein import and sorting",0.0224315068493151,0.100450849028779,0.0277306241962269,-1.79273901230666,47
"24","TOM",0.0355944837868058,0.112842086898597,0.0494906710769627,-1.52413712862467,9
